CP,Entidad,Alcaldia,P_NIVSOCEC,Sum_Servicios,Num_Celulares,Num_Autos,Empresas,Empleos
72774,Puebla,Cuautlancingo,136.72,5,2,15,103,588
36876,Guanajuato,Salamanca,46.89,4,0,72,102,342
44399,Jalisco,San Pedro Tlaquepaque,106.1,24,4,107,100,317
44218,Jalisco,San Pedro Tlaquepaque,131.35,0,7,60,99,980
44920,Jalisco,San Pedro Tlaquepaque,136.81,0,4,44,99,666
44724,Jalisco,San Pedro Tlaquepaque,126.86,34,7,118,95,276
44899,Jalisco,San Pedro Tlaquepaque,131.81,14,8,84,95,500
44660,Jalisco,San Pedro Tlaquepaque,212.83,65,117,102,92,3641
44258,Jalisco,San Pedro Tlaquepaque,139.65,5,6,41,90,294
72702,Puebla,Cuautlancingo,79.45,8,1,9,89,474
36744,Guanajuato,Salamanca,117.07,22,16,36,87,699
44227,Jalisco,San Pedro Tlaquepaque,138.6,0,9,27,81,303
36759,Guanajuato,Salamanca,137.82,9,6,40,81,371
44638,Jalisco,San Pedro Tlaquepaque,193.86,51,29,145,79,1787
44825,Jalisco,San Pedro Tlaquepaque,159.28,22,15,139,79,657
72764,Puebla,Cuautlancingo,150.83,18,7,4,79,368
44799,Jalisco,San Pedro Tlaquepaque,110.62,47,4,125,78,310
55728,México,Coacalco de Berrizabal,123.66,0,1,39,76,389
44679,Jalisco,San Pedro Tlaquepaque,198.15,0,15,72,73,1127
36786,Guanajuato,Salamanca,125.82,7,18,115,73,870
44949,Jalisco,San Pedro Tlaquepaque,119.02,11,8,97,72,458
36790,Guanajuato,Salamanca,117.46,35,3,5,70,269
55707,México,Coacalco de Berrizabal,112.2,0,4,131,66,664
72776,Puebla,Cuautlancingo,172.63,14,8,34,64,847
44658,Jalisco,San Pedro Tlaquepaque,196.51,0,6,62,62,595
44246,Jalisco,San Pedro Tlaquepaque,157.33,10,2,117,61,320
36770,Guanajuato,Salamanca,83.73,3,0,126,61,175
44158,Jalisco,San Pedro Tlaquepaque,193.13,0,8,49,60,709
36724,Guanajuato,Salamanca,146.46,10,3,89,60,228
72723,Puebla,Cuautlancingo,90.31,4,4,146,58,167
44265,Jalisco,San Pedro Tlaquepaque,153.43,0,8,3,57,893
44748,Jalisco,San Pedro Tlaquepaque,117.58,0,1,78,57,176
44658,Jalisco,San Pedro Tlaquepaque,196.51,20,10,72,56,940
44306,Jalisco,San Pedro Tlaquepaque,142.58,4,3,95,56,420
36856,Guanajuato,Salamanca,58.51,18,0,59,55,221
36748,Guanajuato,Salamanca,85.39,8,1,85,54,159
44729,Jalisco,San Pedro Tlaquepaque,109.33,36,18,2,53,506
36878,Guanajuato,Salamanca,60.45,13,32,121,53,531
44538,Jalisco,San Pedro Tlaquepaque,181.66,5,15,108,52,769
36853,Guanajuato,Salamanca,57.45,0,21,57,52,152
36775,Guanajuato,Salamanca,81.82,2,2,44,51,261
36863,Guanajuato,Salamanca,78.94,4,70,44,50,256
44257,Jalisco,San Pedro Tlaquepaque,137.02,22,5,91,47,318
44639,Jalisco,San Pedro Tlaquepaque,187.36,0,7,60,44,1069
55708,México,Coacalco de Berrizabal,78.35,0,0,49,44,170
44307,Jalisco,San Pedro Tlaquepaque,111.47,54,7,87,43,193
44510,Jalisco,San Pedro Tlaquepaque,176.81,0,2,150,43,487
44860,Jalisco,San Pedro Tlaquepaque,155.5,3,4,61,42,145
36773,Guanajuato,Salamanca,73.23,8,0,104,41,139
36884,Guanajuato,Salamanca,60.52,3,33,49,41,224
44467,Jalisco,San Pedro Tlaquepaque,139,11,14,147,39,1689
55713,México,Coacalco de Berrizabal,131.08,0,10,123,39,305
44828,Jalisco,San Pedro Tlaquepaque,116.83,13,5,25,38,153
36743,Guanajuato,Salamanca,146.34,10,3,91,38,442
72725,Puebla,Cuautlancingo,67.51,10,4,29,37,104
36873,Guanajuato,Salamanca,74.16,1,40,133,34,120
44818,Jalisco,San Pedro Tlaquepaque,158.25,0,2,99,33,106
44897,Jalisco,San Pedro Tlaquepaque,163.31,0,1,70,33,203
36714,Guanajuato,Salamanca,95.84,6,4,76,33,83
55737,México,Coacalco de Berrizabal,110.18,3,3,35,33,83
44560,Jalisco,San Pedro Tlaquepaque,192.85,0,13,14,32,248
44249,Jalisco,San Pedro Tlaquepaque,91.87,21,13,85,32,120
36760,Guanajuato,Salamanca,102.2,0,0,133,32,109
36775,Guanajuato,Salamanca,81.82,0,5,77,30,308
44978,Jalisco,San Pedro Tlaquepaque,107.11,0,5,117,29,96
44765,Jalisco,San Pedro Tlaquepaque,123.07,20,5,140,26,287
